Company,Market Cap
IHS,3153240832
BGNE,28003956736
YUMC,26147989504
TRPCF,22395367424
ZTO,22607890432
9956.HK,6533868544
BEKE,20122298368
LI,23383846912
BZ,15007159296
NIOIF,14391894016
ZNG.V,15038641
HTHT,14360306688
CHEAF,14855098368
CHEAF,14855098368
RECLTD.NS,360225112064
YMM,6816659968
4461.T,18208294912
BLBLF,9797800960
VIPS,8383978496
XPNGF,8397518848
LEGN,11066078208
NOEC,3402
EDMCQ,10084
INC.WA,25877690
TAL,3828285952
ZNG.V,15038641
LU,3942618368
WB,3927579904
GDSN.MX,37433778176
ZLAB,3686262784
MNSO,5346422784
RLX,3895557888
QFIN,2938662912
HMDCF,3421217536
DADA,1491281920
DQ,3456112384
CD,2232594176
ATAT,2640744448
YAHOY,19203649536
YY,2049184384
CSIQ,2405740800
JKS,2427578368
VKCO.VI,192000848
MSC,1203676288
URANF,1516854
TUYA,1197649408
KC,1256010752
WDH,1099301888
HUYA,762889088
DDL,869624000
ZH,709165568
HOLI,981641216
MXHN.DE,235086240
NAAS,1674098688
INC.WA,25877690
YSG,548608512
GOTU,780634496
RERE,509557408
EH,674584256
YALA,562460416
RECLTD.NS,360225112064
RECLTD.NS,360225112064
DOYU,354952480
API,342998880
SOHU,467261632
INC.WA,25877690
PUYI,335952896
GHG,450607776
AGORF,48911148
CO,400084480
KT,5888977408
FANH,457776992
NIU,276928640
EM,262416992
BZUN,274623840
SOL,267196512
BNR,301864512
BMCS,1034136
QD,320643264
OCFT,207183168
LIAN,241119008
GCT,214308880
PRTI.CN,1125600
MHUA,84747664
URANF,1516854
YRD,228621536
TOUR,222840000
IH,172719632
XYF,160821328
KNDI,221086800
CAAS,134628224
HYW,173879856
JFIN,253267200
UXIN,51815688
GGE,141714976
SQZ,18726848
RECLTD.NS,360225112064
XNET,102313064
UCL,152724096
INC.WA,25877690
RAAS,213680992
VZN.SW,3170872320
YJ,66607204
TAL,3828285952
CNF,177627840
ZEPP,86674104
KT,5888977408
YQ,65209760
QTG.AX,600824
VIOT,63461808
4461.T,18208294912
LKCO,23804070
SFBTF,347913472
CBAT,66328392
WETG,12756744
INC.WA,25877690
YAHOY,19203649536
JG,43640392
CIH,85696152
YAHOY,19203649536
HUDI,70056864
ZNG.V,15038641
YAHOY,19203649536
WIMI,90184992
CNI.CN,12289087
ADAG,58655420
BEDU,59006508
EPOW,45867336
BYSI,38281852
JZ,71454880
QTG.AX,600824
VKCO.VI,192000848
CCM,60349908
SSHLY,1696548480
RECLTD.NS,360225112064
NA,60765644
GLG,107878616
HUIZ,68563544
TEDU,37450368
CGA,45361252
ATXG,31274550
PLAG,39140468
ICLK,24522350
BEST,58490588
KRKR,38978700
RECLTD.NS,360225112064
INC.WA,25877690
RENN,29002858
CNTB,62746968
YAHOY,19203649536
SEED,38815208
AIH,48210948
URANF,1516854
6069.HK,6301344256
AACG,59608908
GLOBALVECT.NS,842100032
EBON,39852560
YAHOY,19203649536
DOGZ,39574300
DBSTOCKBRO.NS,841749952
AGMH,54105376
YAHOY,19203649536
LXEH,11277356
VZN.SW,3170872320
GSUN,23678592
TAL,3828285952
COE,34537740
TAL,3828285952
UTSI,35437544
INC.WA,25877690
DTSS,28837192
QLI,41112500
UPDC,155985
XFOR,207751904
PME,23204070
PME,23204070
FTFT,19332324
ZCMD,27512678
CJJD,18210228
FENG,32875964
601858.SS,38481539072
ILAG,25103386
ILAG,25103386
INC.WA,25877690
RTC,618339392
CLPS,26697492
EZGO,56570636
CLEU,25758958
CASI,38365988
RAYA,22079924
RAYA,22079924
PBTS,30955952
CNEY,10705538
QTT,5583268
SOS,24953138
YAHOY,19203649536
XIN,27789816
EDTK,25032000
EDMCQ,10084
NISN,19123572
ZNG.V,15038641
KT,5888977408
CPOP,17840278
BQ,30876624
MOGU,22696402
KT,5888977408
HAPP,31297410
INC.WA,25877690
LEJU,42523628
TC,15216154
NCTY,21433934
GEHI,20493582
CNET,11909680
CHNR,21211116
CREG,12149727
KUKE,26729342
YAHOY,19203649536
VZN.SW,3170872320
JWEL,9594454
BNSO,14177154
TFII.TO,12331922432
IFBD,7118064
OCG,10611378
VZN.SW,3170872320
OST,16527315
MATH,31358844
ASX,15288278016
FEDU,22937872
EDMCQ,10084
9956.HK,6533868544
SECO,7771786
ANPC,31065210
TAOP,10135803
ANTE,13053559
INC.WA,25877690
BON,7746600
CLWT,10670339
VKCO.VI,192000848
WAFU,9750499
ZNG.V,15038641
WNW,9397495
VKCO.VI,192000848
GRNQ,15279072
HIHO,8051035
BAOS,15214210
8475.HK,16057734
URANF,1516854
SNTG,9799999
AMBO,7374587
1440.HK,1688400000
PHCF,3939670
RECLTD.NS,360225112064
AIHS,6923736
INC.WA,25877690
TIRX,6844212
YAHOY,19203649536
BIMI,3471450
688617.SS,24594561024
DUO,58042348
CPHI,3188701
AEHL,16830220
YAHOY,19203649536
METX,4785276
ZNG.V,15038641
BHAT,8446635
DXF,5470350
NU,24600684544
TANH,2866859
RECLTD.NS,360225112064
PT,9198637
OMHLF,355351520
EJH,72305520
3085.T,88850366464
SXTC,2068347
